quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude
Ferme Bretonne,Appartement,18052.0,Bon état,77,33.549,-7.5944
Palmier,Studio,25000.0,Neuf,54,33.5784,-7.625
Les Hopitaux,Appartement,16538.0,Neuf,65,33.584,-7.598
Maarif,Appartement,23000.0,Recent,50,33.578,-7.63
Bourgogne Ouest,Maison,11146.0,Bon état,323,33.5895,-7.6156
Ain Sebaa,Appartement,6424.0,Neuf,129,33.606,-7.544
Ain Sebaa,Appartement,9500.0,Bon état,102,33.606,-7.544
Les Princesses,Appartement,12121.0,Bon état,165,33.582,-7.638
Hay Hassani,Appartement,13514.0,Bon état,148,33.5559,-7.6694
Ain Diab Extension,Appartement,37864.0,Bon état,206,33.598,-7.701
Ferme Bretonne,Duplex,18129.0,Bon état,171,33.549,-7.5944
Ain Diab Extension,Villa,26250.0,Bon état,400,33.598,-7.701
Les Princesses,Appartement,26744.0,Recent,43,33.582,-7.638
Californie,Appartement,16279.0,Bon état,129,33.5731,-7.6298
Ain Diab,Villa,43600.0,Bon état,250,33.5955,-7.684
Oulfa,Maison,42857.0,Bon état,140,33.5368,-7.6572
Ain Sebaa,Appartement,12263.0,Bon état,114,33.606,-7.544
Californie,Villa,9893.0,Bon état,2527,33.5731,-7.6298
Ain Sebaa,Studio,12128.0,Bon état,47,33.606,-7.544
Triangle d'Or,Appartement,16864.0,Bon état,169,33.592,-7.613
Les Princesses,Appartement,16019.0,Bon état,103,33.582,-7.638
Californie,Villa,19511.0,Bon état,920,33.5731,-7.6298
Californie,Villa,17083.0,Bon état,1200,33.5731,-7.6298
Belvedere,Appartement,13679.0,Bon état,106,33.5901,-7.5939
Belvedere,Appartement,13889.0,Bon état,108,33.5901,-7.5939
Les Hopitaux,Appartement,11818.0,Bon état,165,33.584,-7.598
Hay Hassani,Appartement,12970.0,Neuf,101,33.5559,-7.6694
Polo,Villa,24000.0,A renover,500,33.584,-7.652
Gauthier,Appartement,16142.0,Bon état,254,33.5894,-7.6323
Val Fleury,Appartement,16923.0,Bon état,130,33.565,-7.637
Les Hopitaux,Appartement,14655.0,Bon état,116,33.584,-7.598
Maarif Extension,Appartement,19744.0,Bon état,390,33.578,-7.6419
Maarif Extension,Appartement,11157.0,Bon état,121,33.578,-7.6419
Maarif Extension,Appartement,11212.0,Bon état,330,33.578,-7.6419
Bourgogne Est,Appartement,29167.0,Bon état,120,33.589,-7.6113
Les Hopitaux,Appartement,10526.0,Bon état,133,33.584,-7.598
Racine,Appartement,12433.0,Bon état,559,33.587,-7.6386
Maarif Extension,Appartement,14650.0,Bon état,157,33.578,-7.6419
Polo,Villa,30000.0,Bon état,350,33.584,-7.652
Les Princesses,Appartement,12832.0,Bon état,113,33.582,-7.638
Ain Diab Extension,Villa,16389.0,Bon état,360,33.598,-7.701
Gauthier,Appartement,15385.0,Bon état,208,33.5894,-7.6323
Californie,Villa,14925.0,Bon état,1005,33.5731,-7.6298
Californie,Appartement,15758.0,Bon état,99,33.5731,-7.6298
