source,transaction,city,page,title,price_text,price_dh,surface_m2,price_m2,rooms,bedrooms,bathrooms,location,url,raw_text
mubawab,vente,Casablanca,1,Bel appartement 98m et 38m Terrasse a vendre Ain Sebaa,1 100 000 DH,1100000.0,88.0,12500.0,3.0,2.0,2.0,,https://www.mubawab.ma/fr/pa/8285108/bel-appartement-98m-et-38m-terrasse-a-vendre-ain-sebaa,"1 100 000 DH Bel appartement 98m et 38m Terrasse a vendre Ain Sebaa Aïn Sebaâ, Casablanca 88 m² 3 Pièces 2 Chambres 2 Salles de bains Terrasse Garage Ascenseur Concierge Salon Marocain Salon européen Antenne parabolique Climatisation Sécurité Cuisine équipée Équipements de la Résidence : -Rooftop panoramique aménagé -Espace exclusif avec vue imprenable sur l'océan Atlantique -Sécurité 24/7 avec vidéosurveillance -Gardien permanent et système de surveillance intégral -Parking privé en sous-sol -Places titrées et sécurisées pour chaque appartement -Hall d'entrée prestige Design contemporain avec finitions haut de gamme Revêtement de sol premium Parquet noyer (chambres) Cuisin... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Beau F4 à vendre à Hay Hassani,1 304 750 DH,1304750.0,104.0,12545.67,4.0,,,vendre à Hay Hassani Hay Hassani,https://www.mubawab.ma/fr/pa/7928993/beau-f4-%C3%A0-vendre-%C3%A0-hay-hassani,"1 304 750 DH Beau F4 à vendre à Hay Hassani Hay Hassani, Casablanca 104 m² 4 Pièces Climatisation Cuisine équipée Four Missimi Living un nouveau standard de confort en plein cœur de la ville de Casablanca. Situé au quartier de Hay Hassani, à 2 pas de Marjane et à 6 min de la station du tramway, ce projet unique incarne l'alliance parfaite entre design moderne, prestations de standing et cadre de vie raffiné. Chaque détail du projet Missimi Living a été soigneusement pensé pour offrir un cadre de vie incomparable. L’architecture contemporaine et élégante est... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appartement à vendre sur Ain Diab 194 m²,5 600 000 DH,5600000.0,194.0,28865.98,5.0,3.0,2.0,,https://www.mubawab.ma/fr/a/8286331/appartement-%C3%A0-vendre-sur-ain-diab-194-m%C2%B2,"5 600 000 DH Appartement à vendre sur Ain Diab 194 m² Ain Diab, Casablanca Baisse du prix 300 000 DH 194 m² 5 Pièces 3 Chambres 2 Salles de bains Jardin Terrasse Garage Ascenseur Vue sur mer Concierge Cheminée Climatisation Chauffage central Sécurité Double vitrage Cuisine équipée Four Appartement de Prestige – Vue Mer Exceptionnelle & Panoramique sur Casablanca Bien rare à la vente. Cet appartement de standing bénéficie de l’une des vues mer les plus remarquables de Casablanca, avec une ouverture panoramique sur l’océan Atlantique, offrant une véritable sensation de hauteur et de profondeur — un privilège extrêmement recherché à Ain Diab. Situé au premier étage en hauteur, il domine son environnement et profite d’une vu... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Studio Haut Standing a vendre les princesses,1 200 000 DH,1200000.0,55.0,21818.18,2.0,1.0,2.0,,https://www.mubawab.ma/fr/a/8144104/studio-haut-standing-a-vendre-les-princesses,"1 200 000 DH Studio Haut Standing a vendre les princesses Les princesses, Casablanca 55 m² 2 Pièces 1 Ch. 2 Salles de bains Terrasse Garage Ascenseur Concierge Chambre rangement Façade extérieure Salon européen Antenne parabolique Climatisation Sécurité Double vitrage Porte blindée Cuisine équipée Four Magnifique studio haut standing de 60m2 avec place parking titrée, bien conçu avec des finitions modernes et de qualité. Composé d'1 cuisine américaine bien équipée, un espace salon avec une grande terrasse, 2 salles de bains, 1 chambre à coucher avec un beau dressing. - Emplacement stratégique à proximité de toutes commodités - Très bel agencement de qualité - Espace optimisé très haut standing Un investissement idéal ! Que vous soyez un... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Studio neuf à vendre à Riviera,1 306 000 DH,1306000.0,74.0,17648.65,2.0,,1.0,vendre à Riviera Riviera,https://www.mubawab.ma/fr/pa/8299842/studio-neuf-%C3%A0-vendre-%C3%A0-riviera,"1 306 000 DH Studio neuf à vendre à Riviera Riviera, Casablanca 74 m² 2 Pièces 1 Ch. 1 Salle de bain Pekorino est un projet résidentiel intimiste situé au cœur du quartier Riviera à Casablanca. Composé de 38 appartements, il allie architecture contemporaine, prestations haut de gamme et qualité de vie. Sa façade élégante, imaginée par l’agence MAM Archi Studio, s’inspire du mouvement des vagues et confère à l’immeuble une identité unique. Idéalement situé à proximité du boulevard Ghandi, de Casablanca Finance City et de l’aéroport, Pekorino... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appartement à l'achat à Les Hôpitaux. Surface de 34 m². Gara...,Prix à consulter,,34.0,,2.0,1.0,1.0,,https://www.mubawab.ma/fr/pa/8198618/appartement-%C3%A0-l-achat-%C3%A0-les-h%C3%B4pitaux-surface-de-34-m%C2%B2-garage,"Prix à consulter Appartement à l'achat à Les Hôpitaux. Surface de 34 m². Gara... Les Hôpitaux, Casablanca 56 m² 2 Pièces Garage Ascenseur Concierge Sécurité Cuisine équipée Agréable appartement à vendre. Prix 782 000 DH. 2 pièces, 1 salle de bains, surface 34 m². 1 chambre. Nouveau. Résidence bien équipée avec places de stationnement et ascenseur. Cet appartement est proposé à la vente à Les Hôpitaux. Sécurité. Cuisine bien équipée. Soyez le premier à visiter cet appartement en vente à Casablanca. Prestation de conciergerie Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Un beau appartement de 98m² neuf à vendre,760 000 DH,760000.0,98.0,7755.1,4.0,3.0,1.0,vendre Sidi Moumen,https://www.mubawab.ma/fr/pa/8299916/un-beau-appartement-de-98m%C2%B2-neuf-%C3%A0-vendre,"760 000 DH Un beau appartement de 98m² neuf à vendre Sidi Moumen, Casablanca 98 m² 4 Pièces 3 Chambres 1 Salle de bain Le projet El Menzeh s’inscrit dans une vision moderne de l’habitat urbain, en proposant un ensemble harmonieux de commerces de proximité et d’appartements de moyen standing, conçus pour répondre aux besoins des familles et des investisseurs à la recherche d’un excellent rapport qualité-prix. Éligible au Nouveau Programme d’Aide au Logement, El Menzeh représente une opportunité idéale pour accéder à la propriété dans des conditions avantageuses... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Villa a vendre ain sebaa 320/M 3 niveau,4 400 000 DH,4400000.0,320.0,13750.0,6.0,6.0,4.0,,https://www.mubawab.ma/fr/a/8327826/villa-a-vendre-ain-sebaa-320-m-3-niveau,"4 400 000 DH Villa a vendre ain sebaa 320/M 3 niveau Aïn Sebaâ, Casablanca 320 m² 6 Pièces 6 Chambres 4 Salles de bains Terrasse Garage Concierge Chambre rangement Salon Marocain Salon européen Sécurité Double vitrage Cuisine équipée Réfrigérateur Four Villa en vente à Ain Sebaa / SIDI BERNOUSSI – Zone Daha avec parking Villa bien située dans un quartier résidentiel calme, proche de Boulevard Madrid PROMIXMITE ANAPC . Superficie totale : 320 m² Surface habitable : 140 m² Nombre de niveaux : 3 SALON EQUIPE TEL QUE AU PHOTO Exposition : 2 façades Zone : 100 % habitable (zone autorisée ) Prix : 440 millions (négociable selon visite) Déclaration : 100 % conforme Villa idéale... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,"Appartement avec terrasse, sans vis à vis, Racine",3 100 000 DH,3100000.0,181.0,17127.07,4.0,3.0,3.0,,https://www.mubawab.ma/fr/a/8334086/appartement-avec-terrasse-sans-vis-%C3%A0-vis-racine,"3 100 000 DH Appartement avec terrasse, sans vis à vis, Racine Maârif, Casablanca 181 m² 4 Pièces 3 Chambres 3 Salles de bains Terrasse Garage Ascenseur Concierge Façade extérieure Salon Marocain Salon européen Climatisation Cuisine équipée Four Alter Foncier vous propose à la vente ce très bel appartement rénové récemment, situé à Racine limite Maarif extension, dans une rue calme. D'une surface de 181 m² dont 31 de terrasse, l'appartement se compose de : - un salon spacieux - une salle d'eau invités - une cuisine semi fermée (possibilité de la fermer complètement) - une suite parentale avec dressing et salle de bain - deux chambres avec salle de bain commune - une très belle terrasse... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Racine mini villa suspendue 286 m² bon prix,4 200 000 DH,4200000.0,286.0,14685.31,5.0,3.0,2.0,,https://www.mubawab.ma/fr/a/8308313/racine-mini-villa-suspendue-286-m%C2%B2-bon-prix,"4 200 000 DH Racine mini villa suspendue 286 m² bon prix Racine, Casablanca 286 m² 5 Pièces 3 Chambres 2 Salles de bains Jardin Terrasse Garage Ascenseur Concierge Chambre rangement Façade extérieure Salon Marocain Salon européen Antenne parabolique Cheminée Climatisation Sécurité Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes UNIQUE À RACINE Votre ""Mini-Villa"" Suspendue – Calme & Prestige Vivez le luxe de l’espace et du soleil au cœur de Casablanca voici votre « mini villa » Profitez du privilège d'un ""jardin suspendu"" en plein cœur de Casablanca. Nourreska vous présente un bien d'exception, véritable havre de paix situé dans une petite résidence haut de gamme, parfaitement entretenue et sécurisée avec concierge. Cet appartement, remarquablement calme et très bie... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appartement à vendre à Oasis. 1 belle chambre. Antenne par...,1 200 000 DH,1200000.0,55.0,21818.18,1.0,1.0,1.0,,https://www.mubawab.ma/fr/a/8328709/appartement-%C3%A0-vendre-%C3%A0-oasis-1-belle-chambre-antenne-parabolique-et-porte-blind%C3%A9e,"1 200 000 DH Appartement à vendre à Oasis. 1 belle chambre. Antenne par... Oasis, Casablanca 55 m² 1 Pièce 1 Ch. 1 Salle de bain Garage Concierge Façade extérieure Salon Marocain Salon européen Antenne parabolique Cheminée Climatisation Chauffage central Sécurité Double vitrage Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes Ne laissez pas passer cet appartement à vendre. Prix 1 200 000 DH. 1 salle de bains, surface de 55 m². 1 Pièces. 1 chambre à coucher. Projet neuf. Sécurité maximale avec système de Surveillance et Porte blindée. Superbe salon marocain et antenne Parabolique. Cet appartement est proposé à la vente à Oasis. Profitez du confort de la cheminée et de la climatisation. La résidence dispose d'un service de concierge. Parfaitement équipé avec chauffage... Contacter Appelez"
mubawab,vente,Casablanca,1,Vente d'un bel appartement à Palmier. Surface totale 56 m². ...,1 200 000 DH,1200000.0,56.0,21428.57,1.0,1.0,1.0,,https://www.mubawab.ma/fr/a/8327837/vente-d-un-bel-appartement-%C3%A0-palmier-surface-totale-56-m%C2%B2-meubl%C3%A9,"1 200 000 DH Vente d'un bel appartement à Palmier. Surface totale 56 m². ... Palmier, Casablanca 56 m² 1 Pièce 1 Ch. 1 Salle de bain Garage Concierge Chambre rangement Meublé Façade extérieure Salon Marocain Salon européen Antenne parabolique Cheminée Climatisation Chauffage central Sécurité Double vitrage Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes Achetez votre appartement. Prix 1 200 000 DH. 1 salle de bains, superficie de 56 m². 1 Pièces. 1 chambre. Projet neuf. Meublé. Venez découvrir cet appartement à vendre à Palmier. Confort et tradition avec un beau salon marocain. Le bien dispose également d'une antenne parabolique et la résidence est sécurisée. Parfaitement équipé avec porte blindée, chauffage central et double vitrage. Programmez dès maintenant votre visite pour cet appartement... Contacter Appelez"
mubawab,vente,Casablanca,1,Superbe appartement à vendre à Palmier. Superficie 55 m². Bi...,1 190 000 DH,1190000.0,55.0,21636.36,1.0,1.0,1.0,,https://www.mubawab.ma/fr/a/8266994/superbe-appartement-%C3%A0-vendre-%C3%A0-palmier-superficie-55-m%C2%B2-bien-meubl%C3%A9,"1 190 000 DH Superbe appartement à vendre à Palmier. Superficie 55 m². Bi... Palmier, Casablanca 55 m² 1 Pièce 1 Ch. 1 Salle de bain Terrasse Garage Ascenseur Concierge Meublé Façade extérieure Salon Marocain Salon européen Antenne parabolique Cheminée Climatisation Chauffage central Sécurité Double vitrage Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes Agréable appartement à vendre. Prix 1 200 000 DH. 1 salle de bains, 55 m². 1 Pièces. 1 chambre. Nouveau. Entièrement meublé. Idéal si vous souhaitez acheter un appartement à Palmier. Confort et tradition avec un beau salon marocain. Le bien dispose également d'une antenne parabolique et la résidence est sécurisée. Très belle Terrasse. La résidence est équipée d'un ascenseur et d'un parking. Soyez le premier à visiter cet appartement en vente à... Contacter Appelez"
mubawab,vente,Casablanca,1,En Location Meublé: Magnifique Appartement Neuf meublé de 86...,1 900 000 DH,1900000.0,67.0,28358.21,6.0,2.0,2.0,,https://www.mubawab.ma/fr/a/8327786/en-location-meubl%C3%A9-magnifique-appartement-neuf-meubl%C3%A9-de-86-m-au-c%C5%93ur-du-quartier-gauthier,"1 900 000 DH En Location Meublé: Magnifique Appartement Neuf meublé de 86... Gauthier, Casablanca 67 m² 6 Pièces 2 Chambres 2 Salles de bains Terrasse Garage Ascenseur Concierge Chambre rangement Meublé Façade extérieure Salon Marocain Salon européen Antenne parabolique Cheminée Climatisation Chauffage central Sécurité Double vitrage Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes Best House Real Estate vous propose à la vente un superbe Appartement 2 chambres neuf jamais habité meuble avec goût d’être situé dans le quartier prisé de Gauthier à Casablanca. Situé dans une résidence neuve et moderne, cet appartement bénéficie d’un cadre de vie confortable avec des prestations de qualité. Caractéristiques du bien : • Superficie habitable : 77 m² • Grande terrasse de 8 m² • Salon lumineux • Cuisine équipée • Chambre confor... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Exclusif Dernières Opportunités: Magnifique Appartement de 2...,16 500 DH,16500.0,95.0,173.68,6.0,2.0,2.0,,https://www.mubawab.ma/fr/a/8145908/exclusif-derni%C3%A8res-opportunit%C3%A9s-magnifique-appartement-de-2-%C3%A0-3-chambres-entre-95-m-%C3%A0-130-m-en-r%C3%A9sidence-ferme-dans-le-quartier-laymoune-appartement-avec-place-de-parking-titr%C3%A9e,"16 500 DH Exclusif Dernières Opportunités: Magnifique Appartement de 2... Laymoune, Casablanca 95 m² 6 Pièces 2 Chambres 2 Salles de bains Jardin Terrasse Garage Ascenseur Piscine Concierge Façade extérieure Climatisation Chauffage central Sécurité Double vitrage Porte blindée Cuisine équipée Four Best House Real Estate vous propose une Exclusivité une Résidence Fermée sécurisé Neuf de 3 immeubles dans un avec espace vert et piscine pour enfant qu coeur du quartier laymoun Le projet est en cours de finition il sera livré dans les mois à venir plusieurs unités sont déjà vendu mais il nous reste Quelques disponibilités. La résidence comporte des appartements de 2 a 3 chambres et d’une superficie qui varie entre 90 m a 130 m. Les prix est... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appartement Art Déco Centre Casa Vue jardin Consul,,,94.0,,3.0,2.0,1.0,,https://www.mubawab.ma/fr/a/8337492/appartement-art-d%C3%A9co-centre-casa-vue-jardin-consul,"150 000 EUR Appartement Art Déco Centre Casa Vue jardin Consul Mers Sultan, Casablanca 94 m² 3 Pièces 2 Chambres 1 Salle de bain Meublé Façade extérieure Salon européen Réfrigérateur Four Machine à laver À vendre, appartement de caractère face au Consulat général de France, au cœur du centre-ville de Casablanca. Situé au 1er étage sans ascenseur, ce bien bénéficie d’un emplacement recherché, à 2 minutes du tramway et du parc de la Ligue arabe, et à proximité immédiate des principaux repères du centre historique : Parc de la Ligue Arabe, ex-église du Sacré-Cœur, Marché central, Bab Marrakech, ancienne médina, gare Casa-Port, place Mohammed V, q... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Magnifique Studio à louer au quartier racine,9 000 DH,9000.0,55.0,163.64,1.0,,1.0,louer au quartier racine Racine,https://www.mubawab.ma/fr/a/8335276/magnifique-studio-%C3%A0-louer-au-quartier-racine,"9 000 DH Magnifique Studio à louer au quartier racine Racine, Casablanca 55 m² 1 Pièce 1 Ch. 1 Salle de bain Garage Concierge Meublé Salon européen Climatisation Sécurité Double vitrage Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes Studio meublé à louer au quartier le plus chic racine entouré de toutes les commodités tranquille et calme et bien sécurisé Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Grand Studio traversant à Gauthier vue sur les twi,1 600 000 DH,1600000.0,59.0,27118.64,2.0,,1.0,Gauthier vue sur les twi Gauthier,https://www.mubawab.ma/fr/a/8332579/grand-studio-traversant-%C3%A0-gauthier-vue-sur-les-twi,"1 600 000 DH Grand Studio traversant à Gauthier vue sur les twi Gauthier, Casablanca 59 m² 2 Pièces 1 Ch. 1 Salle de bain Garage Ascenseur Concierge Meublé Façade extérieure Salon européen Climatisation Chauffage central Sécurité Porte blindée Cuisine équipée Réfrigérateur Four Machine à laver Micro-ondes Grand studio de 59 m² situé au 3ᵉ étage d’un immeuble neuf à Gauthier. Entièrement meublé avec goût, il offre de très belles finitions, une luminosité agréable et un aménagement moderne et optimisé. Espace de vie cosy et fonctionnel, cuisine équipée, prestations de qualité. Idéal pour location courte ou longue durée, prêt à vivre Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appartement d’exception à Ferme bretonne,1 950 000 DH,1950000.0,107.0,18224.3,3.0,2.0,2.0,Ferme bretonne Anfa,https://www.mubawab.ma/fr/a/8328976/appartement-d%E2%80%99exception-%C3%A0-ferme-bretonne,"1 950 000 DH Appartement d’exception à Ferme bretonne Anfa, Casablanca 107 m² 3 Pièces 2 Chambres 2 Salles de bains Terrasse Garage Ascenseur Concierge Façade extérieure Climatisation Double vitrage Cuisine équipée Four À vendre, superbe appartement moderne alliant confort, élégance et prestations haut de gamme. Situé au 1er étage d’une résidence récente (seulement 1 an), ce bien d’exception bénéficie d’une double façade en angle, offrant une luminosité remarquable tout au long de la journée, renforcée par une excellente orientation sud-ouest, ainsi qu’une vue dégagée et apaisante sur les jardins de l’OCP. D’une superficie généreuse de 94 m² habitables, complét... Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Joli appartement duplex complètement rénové,820 000 DH,820000.0,102.0,8039.22,3.0,3.0,1.0,,https://www.mubawab.ma/fr/a/8328565/joli-appartement-duplex-compl%C3%A8tement-r%C3%A9nov%C3%A9,"820 000 DH Joli appartement duplex complètement rénové Hay Mohammadi, Casablanca 102 m² 3 Pièces 3 Chambres 1 Salle de bain Jardin Terrasse Salon Marocain Antenne parabolique Cuisine équipée Four Je met mon appartement duplex bien ensoleillé deux façade orientation est ouest bien aménagé et complètement rénové, 3 chambres salon petit séjour et salle à manger avec accès à la cuisine à l'étage et une terrasse avec une petite toilette extérieur ! Quartier calme, jardin et espace vert autour de l'immeuble et partout dans le résidence, près de toutes commodités ainsi que les deux lignes tramway Contacter Appelez WhatsApp"
mubawab,vente,Casablanca,1,Appartement à vendre Oulfa,800 000 DH,800000.0,76.0,10526.32,3.0,2.0,1.0,vendre Oulfa Hay Zobir,https://www.mubawab.ma/fr/a/8328481/appartement-%C3%A0-vendre-oulfa,"800 000 DH Appartement à vendre Oulfa Hay Zobir, Casablanca 76 m² 3 Pièces 2 Chambres 1 Salle de bain Terrasse Ascenseur Salon Marocain Cuisine équipée Four Je mets en vente un appartement moyen standing de 76 m² situé à Oulfa-Acharaf, Casablanca. - Surface habitable 76 m² - Balcon - Ascenseur - Cuisine équipée - Très bon état récemment rénové Prix légèrement négociable N'hésitez pas à me contacter pour plus d'informations Contacter Appelez WhatsApp"
